session_date,minute_of_session,usable_observation,bar_present,sigma_history_valid,prior_14_eligible_usable,band_warm
2008-02-07,300,True,True,False,12,False
2008-02-07,330,True,True,False,12,False
2008-02-07,360,True,True,False,12,False
2008-02-07,390,True,True,False,12,False
2008-02-08,30,True,True,False,13,False
2008-02-08,60,True,True,False,13,False
2008-02-08,90,True,True,False,13,False
2008-02-08,120,True,True,False,13,False
2008-02-08,150,True,True,False,13,False
2008-02-08,180,True,True,False,13,False
2008-02-08,210,True,True,False,13,False
2008-02-08,240,True,True,False,13,False
2008-02-08,270,True,True,False,13,False
2008-02-08,300,True,True,False,13,False
2008-02-08,330,True,True,False,13,False
2008-02-08,360,True,True,False,13,False
2008-02-08,390,True,True,False,13,False
2008-02-11,30,True,True,True,14,True
2008-02-11,60,True,True,True,14,True
2008-02-11,90,True,True,True,14,True
2008-02-11,120,True,True,True,14,True
2008-02-11,150,True,True,True,14,True
2008-02-11,180,True,True,True,14,True
2008-02-11,210,True,True,True,14,True
2008-02-11,240,True,True,True,14,True
2008-02-11,270,True,True,True,14,True
2008-02-11,300,True,True,True,14,True
2008-02-11,330,True,True,True,14,True
2008-02-11,360,True,True,True,14,True
2008-02-11,390,True,True,True,14,True
2008-02-12,30,True,True,True,14,True
2008-02-12,60,True,True,True,14,True
2008-02-12,90,True,True,True,14,True
2008-02-12,120,True,True,True,14,True
2008-02-12,150,True,True,True,14,True
2008-02-12,180,True,True,True,14,True
2008-02-12,210,True,True,True,14,True
2008-02-12,240,True,True,True,14,True
2008-02-12,270,True,True,True,14,True
2008-02-12,300,True,True,True,14,True
2008-02-12,330,True,True,True,14,True
2008-02-12,360,True,True,True,14,True
2008-02-12,390,True,True,True,14,True
2008-02-13,30,True,True,True,14,True
2008-02-13,60,True,True,True,14,True
2008-02-13,90,True,True,True,14,True
2008-02-13,120,True,True,True,14,True
2008-02-13,150,True,True,True,14,True
2008-02-13,180,True,True,True,14,True
2008-02-13,210,True,True,True,14,True
2008-02-13,240,True,True,True,14,True
2008-02-13,270,True,True,True,14,True
2008-02-13,300,True,True,True,14,True
2008-02-13,330,True,True,True,14,True
2008-02-13,360,True,True,True,14,True
2008-02-13,390,True,True,True,14,True
2008-02-14,30,True,True,True,14,True
2008-02-14,60,True,True,True,14,True
2008-02-14,90,True,True,True,14,True
2008-02-14,120,True,True,True,14,True
2008-02-14,150,True,True,True,14,True
2008-02-14,180,True,True,True,14,True
2008-02-14,210,True,True,True,14,True
2008-02-14,240,True,True,True,14,True
2008-02-14,270,True,True,True,14,True
2008-02-14,300,True,True,True,14,True
2008-02-14,330,True,True,True,14,True
