KEY,FREQ,REF_AREA,ADJUSTMENT,RT_ECON_CONCEPT,RT_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,UNIT_PRICE_BASE,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_DETAIL,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-01,3.917643181818182,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-02,3.087590476190476,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-03,2.782501052631579,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-04,2.794660000000001,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-05,2.692377999999999,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-06,2.765389523809524,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-07,2.792339130434783,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-08,2.806252500000001,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-09,3.121677272727272,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-10,4.058586956521738,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-11,2.279063,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2008-12,1.829345714285714,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
