method,block_length_sessions,period,confidence_level,point,bootstrap_median,bootstrap_sd,ci_low,ci_high,probability_draw_le_zero,centered_one_sided_p_decline,centered_two_sided_p_difference
circular_moving_block,1,pre_publication,0.9,0.9949436899771652,0.9940008979854175,0.2298300127358858,0.6108725521896481,1.362640293860263,0.0,,
circular_moving_block,1,pre_publication,0.95,0.9949436899771652,0.9940008979854175,0.2298300127358858,0.5327635428924493,1.4307484650476623,0.0,,
circular_moving_block,1,post_publication,0.9,0.9942712834613442,1.0106518902884254,0.6360630192576391,-0.11446062971228016,1.98170441949621,0.0645,,
circular_moving_block,1,post_publication,0.95,0.9942712834613442,1.0106518902884254,0.6360630192576391,-0.3315305778321953,2.1699377871645313,0.0645,,
circular_moving_block,1,pre_minus_post,0.9,0.0006724065158210113,-0.0228752005581237,0.678067348987085,-1.0695825482393901,1.1661801668008367,0.51375,0.48575,0.9995
circular_moving_block,1,pre_minus_post,0.95,0.0006724065158210113,-0.0228752005581237,0.678067348987085,-1.2759391551965997,1.386645201634322,0.51375,0.48575,0.9995
circular_moving_block,5,pre_publication,0.9,0.9949436899771652,0.994167185797682,0.22561474359375133,0.6269382961569588,1.367624289543095,0.0,,
circular_moving_block,5,pre_publication,0.95,0.9949436899771652,0.994167185797682,0.22561474359375133,0.5485803334236695,1.4362729798535567,0.0,,
circular_moving_block,5,post_publication,0.9,0.9942712834613442,1.0017479442818902,0.6075700866223855,-0.06042658404665962,1.930142247262303,0.062125,,
circular_moving_block,5,post_publication,0.95,0.9942712834613442,1.0017479442818902,0.6075700866223855,-0.29429743342155357,2.0860058753787536,0.062125,,
circular_moving_block,5,pre_minus_post,0.9,0.0006724065158210113,0.005011843801127347,0.6455648180881388,-1.0154057841120239,1.1020615985683089,0.496125,0.5025,0.998625
circular_moving_block,5,pre_minus_post,0.95,0.0006724065158210113,0.005011843801127347,0.6455648180881388,-1.2019495214878422,1.3442168647887023,0.496125,0.5025,0.998625
circular_moving_block,10,pre_publication,0.9,0.9949436899771652,0.9956385482846024,0.22545200439751586,0.6112624744939145,1.3613945654496877,0.0,,
circular_moving_block,10,pre_publication,0.95,0.9949436899771652,0.9956385482846024,0.22545200439751586,0.542006600578674,1.4356195828143976,0.0,,
circular_moving_block,10,post_publication,0.9,0.9942712834613442,0.994256050672512,0.5917213143043333,-0.030157949173781135,1.9243114836930892,0.05525,,
circular_moving_block,10,post_publication,0.95,0.9942712834613442,0.994256050672512,0.5917213143043333,-0.24815384749357403,2.086074111785209,0.05525,,
